,questions,answers,metadata
0,"in the regularize-cv.py file, it displays that the import ""pandas"" could not be resolved from the source. some other import functions have the same issue. How do i resolve it?",Have you installed pandas (pip install pandas) in your environment?,"{'folders': ['hw7'], 'title': 'HW 7, Problem 2', 'timestamp': '2024-10-21T22:10:52Z', 'user': '', 'tags': ['hw7', 'student'], 'likes': 0, 'views': 77}"
1,When choosing the degree of the polynomial that best fits the data should we take in to account overfitting/underfitting or can we just choose the model that provides the lowest error?,account for the overfitting/underfitting of your polynomial.,"{'folders': ['hw7'], 'title': 'HW 7 Problem 1 Part 3', 'timestamp': '2024-10-21T14:52:11Z', 'user': '', 'tags': ['hw7', 'student'], 'likes': 0, 'views': 89}"
2,When will we begin the mini project for the course?,We will be releasing the Mini-Project during the first week of November.,"{'folders': ['logistics'], 'title': 'Mini Project', 'timestamp': '2024-10-20T20:32:47Z', 'user': '', 'tags': ['logistics', 'student'], 'likes': 2, 'views': 109}"
3,"<img alt=""image.png"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fm01ca1hg2xv7l6%2F3d380ee22e8b96910885d7b08c4b288e718f59f808e33c71005dda8865627e5f%2Fimage.png""/>For this portion of main, is x the part that is going to be turned into the feature matrix and then y is the target vector?","Yes, y is the target vector.","{'folders': ['hw7'], 'title': 'Homework 7 Problem 1 Question', 'timestamp': '2024-10-18T14:36:38Z', 'user': '', 'tags': ['hw7', 'student'], 'likes': 0, 'views': 110}"
4,"<p>May I know why the CDF isn't a step function? According to lecture slide, a discrete CDF will have a graph sort of like a step and a continuous CDF will have a continuous graph. I guess my question is from the question how do we know if its discrete or continuous?</p><p></p><p><img alt=""Screenshot_2024-10-14_at_10.42.47_PM.jpgNaN"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fllaw25gfd9aej%2F9c9a14a453a62fff232cd53d55fec5a67711226772643f61672fd50cabdfcbbb%2FScreenshot_2024-10-14_at_10.42.47_PM.jpg""/></p>","The question asks you to plot the CDF for the given PDF so the CDF will be continuous. If a PMF was given instead, then it would be a discrete CDF. <br/><br/>Edit: Marks have been awarded if the correct graph is plotted based on reasonable PMF assumptions.","{'folders': ['exam'], 'title': 'exam 1 Question 3 part B', 'timestamp': '2024-10-15T02:42:59Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 2, 'views': 128}"
5,"Hello! I had a quick question about the course grading. If the exams themselves are curved, will the course also be curved? Or will the exams be the only portion of the grade curved? Thanks!","For the course cutoffs, you can refer to post @157","{'folders': ['exam'], 'title': 'Grade Curve', 'timestamp': '2024-10-15T01:01:50Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 0, 'views': 169}"
6,"It was mentioned that exam grades would be released later today. I noticed that under the ""Exams"" section of my grade on Brightspace I have a grade displayed in the ""weight achieved"" part. I am in Makur's section, and I believe that grades are inputted out of the total in the class (even though it says my grade is ""x / 50"" it really is ""x / 16.67"", since 3 equally weighted exams). This is consistent with how homeworks have been inputted. Is this correct / are grades final?","Yes, Brightspace is displaying (exam1 + exam2 + exam3) / 50 in the ""weight achieved"" part, where exam2 = exam3 = 0 for now. These will eventually be filled in as the course progresses, so Brightspace will have the correct calculation in the end. You should look at your exam 1 score in isolation to get a sense of your overall performance in exams for now. ","{'folders': ['exam'], 'title': 'Are Exam Grades Final / Released', 'timestamp': '2024-10-15T00:14:53Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 0, 'views': 144}"
7,"I submitted it on time, but looking at the grading commit I see no grade and was given a 0/100 on Brightspace, just wondering who I can contact about correcting this. Thanks!",Please send a regrade request following the instructions in post @119.,"{'folders': ['hw3'], 'title': 'Homework 3', 'timestamp': '2024-10-14T22:25:30Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 115}"
8,"For question 1, my 5th and 6th functions that are outputted are very similar (not the same but similar) when the data is visualized it is hard to differentiate between the 5th and 6th degrees which both appear to follow the relationship of the data. Based off the equations am I then supposed to decide which is better and if so how?","Think about the concept of <strong>overfitting</strong> and whether adding more complexity to your model necessarily improves its ability to generalize. Ask yourself if a simpler model that captures the overall trend might be preferable, even if a higher degree polynomial can fit the data more tightly.","{'folders': ['hw7'], 'title': 'HW7 Q1', 'timestamp': '2024-10-14T01:40:41Z', 'user': '', 'tags': ['hw7', 'student'], 'likes': 0, 'views': 118}"
9,"My outputs for this function is printed in reverse order, am I allowed to change the skeleton code to reverse the order of it being printed? thank you","Yes, you can.","{'folders': ['hw7'], 'title': 'polyfit.py', 'timestamp': '2024-10-12T19:36:04Z', 'user': '', 'tags': ['hw7', 'student'], 'likes': 0, 'views': 117}"
10,Is the x argument in feature_matrix a list of tuples?,"No, it's not a tuple. It's just float values.","{'folders': ['hw7'], 'title': 'feature_matrix', 'timestamp': '2024-10-11T22:36:51Z', 'user': '', 'tags': ['hw7', 'student'], 'likes': 0, 'views': 107}"
11,"<p>Can we make the assumption that there will only be one superhero per input string?</p><p></p><p>for instance, will there be a test-case for something like 'Iron boy and Spider boy'</p>",Nope. Only one superhero.,"{'folders': ['hw6'], 'title': 'Problem 3 Multiple Superheroes', 'timestamp': '2024-10-11T21:34:39Z', 'user': 'm02l4ca3ixr12l', 'tags': ['hw6', 'student'], 'likes': 0, 'views': 104}"
12,"For an input string like: ""Super boy, is Boy Boy Boy"" what should our expected output be? Or are we not required to handle test cases where a capital ""Boy"" or ""Girl"" is repeated in the string?",No need to handle any such specific case.,"{'folders': ['hw6'], 'title': 'Special Case in Problem 3', 'timestamp': '2024-10-11T16:06:05Z', 'user': 'lr6tfdclqb73lf', 'tags': ['hw6', 'student'], 'likes': 0, 'views': 99}"
